"VATSAKIPU, ULOSTAMINEN (RIPULI/UMMETUS)",KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko ollut närästystä.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAISET,"Onko sinulla viime aikoina esiintynyt poikkeavia gynekologisia oireita (vuotoa, kipua, kirvelyä yms)",valinta,Kyllä,,Siirtyy gynekologia puustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAISET,,,Ei,Ei gynekologisia oireita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Onko sinulla kuumetta yli 37,5 astetta?",valinta,Kyllä,,Siirtyy kuumepuustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Lämpö ollut alle 37.5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Minulla on kuumeinen olo, mutta en ole mitannut.","Kuumeinen olo, ei ole mitannut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"En osaa sanoa onko minulla kuumetta, en ole mitannut.","Ei osaa sanoa onko kuumetta, ei ole mitannut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla rintakipua?,valinta,Kyllä,,Onko sinulla hengenahdistusta?,valinta,Kyllä,Potilaalla rintakipua ja hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,"Potilaalla rintakipua, ei hengenahdistusta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En osaa sanoa,"Potilaalla rintakipua, ei osaa sanoa onko hengenahdistusta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,,Onko sinulla hengenahdistusta?,valinta,Kyllä,"Potilaalla hengenahdistusta, ei rintakipua.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,"Ei rintakipua, ei hengenahdistusta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En osaa sanoa,"Potilaalla ei ole rintakipua, mutta ei osaa sanoa onko hengenahdistusta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,,Onko sinulla hengenahdistusta?,valinta,Kyllä,"Potilaalla on hengenahdistusta, ei osaa sanoa onko rintakipua.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,"Potilaalla ei ole hengenahdistusta, mutta ei osaa sanoa onko rintakipua.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En osaa sanoa,Potilas ei osaa sanoa onko rintakipua tai hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
