Virtsaaminen,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"4-6 vrk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,4-6 vrk ajan ollut tihentynyttä virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvelyä virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"4-6 vrk ajan ollut tihentynyttä virtsaamistarvetta. Ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,4-6 vrk ajan ollut kirvelyä virtsatessa ja virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"4-6 vrk ajan ollut kirvelyä virtsatessa. Ei virtsaamisvaikeutta, ei tihentynyttä virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"4-6 vrk ajan ollut virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut virtsaamisoireita 1-2 viikon ajan.,,Onko sinulla virtsaamisen tarve lisääntynyt?,valinta,Kyllä,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"1-2 vko ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-2 vko ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,1-2 vko ajan ollut tihentynyttä virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvelyä virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-2 vko ajan ollut tihentynyttä virtsaamistarvetta. Ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,1-2 vko ajan ollut kirvelyä virtsatessa ja virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-2 vko ajan ollut kirvelyä virtsatessa. Ei virtsaamisvaikeutta, ei tihentynyttä virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"1-2 vko ajan ollut virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,MInulla on ollut virtsaamisoireita 2 viikon - 1 kk ajan.,,Onko sinulla virtsaamisen tarve lisääntynyt?,valinta,Kyllä,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"2 vko - 1kk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 vko - 1kk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,2 vko - 1kk ajan ollut tihentynyttä virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvelyä virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 vko - 1kk ajan ollut tihentynyttä virtsaamistarvetta. Ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,2 vko - 1kk ajan ollut kirvelyä virtsatessa ja virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 vko - 1kk ajan ollut kirvelyä virtsatessa. Ei virtsaamisvaikeutta, ei tihentynyttä virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"2 vko - 1kk ajan ollut virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,MInulla on ollut virtsaamisoireita yli 1 kk ajan.,,Onko sinulla virtsaamisen tarve lisääntynyt?,valinta,Kyllä,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"Yli kk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli kk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,Yli kk ajan ollut tihentynyttä virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvelyä virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli kk ajan ollut tihentynyttä virtsaamistarvetta. Ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,Yli kk ajan ollut kirvelyä virtsatessa ja virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli kk ajan ollut kirvelyä virtsatessa. Ei virtsaamisvaikeutta, ei tihentynyttä virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"Yli kk ajan ollut virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,Onko virtsa ollut punaista oireiden aikana?,valinta,Kyllä,,Milloin virtsa on muuttunut punaiseksi?,valinta,Tänään,Tänään virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1-3 vuorokautta sitten,1-3 vrk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4-6 vuorokautta sitten,4-6 vrk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1-2 viikkoa sitten,1-2 vko sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2 viikkoa - 1 kuukausi sitten,2 vko - 1 kk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Yli 1 kuukausi sitten,Yli 1 kk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei näkyvää hematuriaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
