Oksentelu,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,
,Onko tullut verta oksennuksen mukana?,valinta,Kyll‰,,Milloin verta on tullut ensimm‰isen kerran oksennuksen mukana?,valinta,T‰n‰‰n,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,T‰n‰‰n on kerran tullut oksennuksen seassa verta.,,,,,,,,
,,,,,,,,,,,2-3 kertaa,T‰n‰‰n on 2-3 kertaa tullut oksennuksen seassa verta.,,,,,,,,
,,,,,,,,,,,Yli 3 kertaa,T‰n‰‰n on yli 3 kertaa tullut oksennuksen seassa  verta.,,,,,,,,
,,,,,,,1-3 vrk:tta sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,1-3 vrk sitten on ollut kertaalleen oksennuksen seassa verta.,,,,,,,,
,,,,,,,,,,,2-4 kertaa,1-3 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta.,,,,,,,,
,,,,,,,,,,,yli 5 kertaa,1-3 vrk aikana on ollut yli 5 kertaa oksennuksen seassa verta.,,,,,,,,
,,,,,,,4-6 vrk:tta sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,4-6 vrk sitten on kertaalleen oksennuksen seassa on ollut verta.,,,,,,,,
,,,,,,,,,,,2-4 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"4-6 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,
,,,,,,,,,,,,,,,1-2 vrk:tta sitten,"4-6 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 1-2 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,Yli 2 vrk:tta sitten,"4-6 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi yli 2 vrk:tta sitten.",,,,
,,,,,,,,,,,yli 5 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"4-6 vrk aikana on tullut yli 5 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,
,,,,,,,,,,,,,,,1-2 vrk:tta sitten,"4-6 vrk aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 1-2 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,Yli 2 vrk:tta sitten,"4-6 vrk aikana on ollut yli 5ckertaa oksennuksen seassa verta, viimeksi yli 2 vrk:tta sitten.",,,,
,,,,,,,1-2 viikkoa sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,1-2 vko sitten on kertaalleen oksennuksen seassa on ollut verta.,,,,,,,,
,,,,,,,,,,,2-4 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,
,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,Yli viikko sitten,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,
,,,,,,,,,,,yli 5 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,
,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,Yli viikko sitten,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,
,,,,,,,Yli 2 viikkoa sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,Yli 2 vko sitten on kertaalleen oksennuksen seassa on ollut verta.,,,,,,,,
,,,,,,,,,,,2-4 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,
,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,Yli viikko sitten,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,
,,,,,,,,,,,yli 5 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,
,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,
,,,,,,,,,,,,,,,Yli viikko sitten,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,
,,,Ei,Ei verta oksennuksen seassa.,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko tullut verta oksennuksen mukana.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
