,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla viime aikoina ollut normaalista poikkeavia virtsaamisoireita?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut poikkeavia virtsaamisoireita?,valinta,Virtsaamisoireet ovat alkaneet minulla t‰n‰‰n.,,Onko sinulla virtsaamisen tarve lis‰‰ntynyt?,valinta,Kyll‰,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"T‰n‰‰n alkanut tihentynyt virtsaamistarve, kirvely‰ virtsatessa ja virtsaamisvaikeus.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"T‰n‰‰n alkanut tihentynyt virtsaamistarve, kirvely‰ virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,T‰n‰‰n alkanut tihentynyt virtsaamistarve ja virtsaamisvaikeus. Ei kirvely‰ virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"T‰n‰‰n alkanut tihentynyt virtsaamistarve. Ei virtsaamisvaikeutta, ei kirvely‰ virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,T‰n‰‰n alkanut kirvely virtsatessa ja virtsaamisvaikeus. Ei tihentynytt‰ virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"T‰n‰‰n alkanut kirvely virtsatessa. Ei virtsaamisvaikeutta, ei tihentynytt‰ virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"T‰n‰‰n alkanut virtsaamisvaikeus. Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut virtsaamisoireita 1-3 vuorokauden ajan.,,Onko sinulla virtsaamisen tarve lis‰‰ntynyt?,valinta,Kyll‰,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"1-3 vrk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-3 vrk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,1-3 vrk ajan ollut tihentynytt‰ virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvely‰ virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-3 vrk ajan ollut tihentynytt‰ virtsaamistarvetta. Ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,1-3 vrk ajan ollut kirvely‰ virtsatessa ja virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-3 vrk ajan ollut kirvely‰ virtsatessa. Ei virtsaamisvaikeutta, ei tihentynytt‰ virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"1-3 vrk ajan ollut virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut virtsaamisoireita 4-6 vuorokauden ajan.,,Onko sinulla virtsaamisen tarve lis‰‰ntynyt?,valinta,Kyll‰,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"4-6 vrk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"4-6 vrk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,4-6 vrk ajan ollut tihentynytt‰ virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvely‰ virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"4-6 vrk ajan ollut tihentynytt‰ virtsaamistarvetta. Ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,4-6 vrk ajan ollut kirvely‰ virtsatessa ja virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"4-6 vrk ajan ollut kirvely‰ virtsatessa. Ei virtsaamisvaikeutta, ei tihentynytt‰ virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"4-6 vrk ajan ollut virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut virtsaamisoireita 1-2 viikon ajan.,,Onko sinulla virtsaamisen tarve lis‰‰ntynyt?,valinta,Kyll‰,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"1-2 vko ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-2 vko ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,1-2 vko ajan ollut tihentynytt‰ virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvely‰ virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-2 vko ajan ollut tihentynytt‰ virtsaamistarvetta. Ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,1-2 vko ajan ollut kirvely‰ virtsatessa ja virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-2 vko ajan ollut kirvely‰ virtsatessa. Ei virtsaamisvaikeutta, ei tihentynytt‰ virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"1-2 vko ajan ollut virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MInulla on ollut virtsaamisoireita 2 viikon - 1 kk ajan.,,Onko sinulla virtsaamisen tarve lis‰‰ntynyt?,valinta,Kyll‰,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"2 vko - 1kk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 vko - 1kk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,2 vko - 1kk ajan ollut tihentynytt‰ virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvely‰ virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 vko - 1kk ajan ollut tihentynytt‰ virtsaamistarvetta. Ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,2 vko - 1kk ajan ollut kirvely‰ virtsatessa ja virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 vko - 1kk ajan ollut kirvely‰ virtsatessa. Ei virtsaamisvaikeutta, ei tihentynytt‰ virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"2 vko - 1kk ajan ollut virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MInulla on ollut virtsaamisoireita yli 1 kk ajan.,,Onko sinulla virtsaamisen tarve lis‰‰ntynyt?,valinta,Kyll‰,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"Yli kk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli kk ajan ollut tihentynytt‰ virtsaamistarvetta, kirvely‰ virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,Yli kk ajan ollut tihentynytt‰ virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvely‰ virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli kk ajan ollut tihentynytt‰ virtsaamistarvetta. Ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kirveleekˆ/onko sinulla kipua virtsatessa?,valinta,Kyll‰,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,Yli kk ajan ollut kirvely‰ virtsatessa ja virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli kk ajan ollut kirvely‰ virtsatessa. Ei virtsaamisvaikeutta, ei tihentynytt‰ virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyll‰,"Yli kk ajan ollut virtsaamisvaikeutta. Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Ei tihentynytt‰ virtsaamistarvetta, ei kirvely‰ virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko virtsa ollut punaista oireiden aikana?,valinta,Kyll‰,,Milloin virtsa on muuttunut punaiseksi?,valinta,T‰n‰‰n,T‰n‰‰n virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1-3 vuorokautta sitten,1-3 vrk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4-6 vuorokautta sitten,4-6 vrk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1-2 viikkoa sitten,1-2 vko sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2 viikkoa - 1 kuukausi sitten,2 vko - 1 kk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yli 1 kuukausi sitten,Yli 1 kk sitten virtsa on muuttunut punaiseksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,Ei n‰kyv‰‰ hematuriaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Virtsaaminen normaalia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko poikkeavia virtsaamisoireita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Onko sinun ulostaminen ollut normaalista poikkeavaa (ripulia, ummetusta, tummia ulosteita, kirkasta verta) viime aikoina?",valinta,Kyll‰,,Onko sinulla ripulia?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut ripulia?,valinta,Ripuli on alkanut t‰n‰‰n.,"Ripuli on alkanut t‰n‰‰n,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripuli on kest‰nyt 1-3 vuorokauden ajan.,"Ripulia ollut 1-3 vrk ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripuli on kest‰nyt 4-6 vuorokauden ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisen 2 vrk aikana.,"4-6 vrk ajan ollut ripulia, joka viime p‰ivin‰ helpottunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisen 2 vrk aikana.,4-6 vrk ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisen 2 vrk aikana.,"4-6 vrk ajan ollut ripulia, joka viime p‰ivin‰ pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripuli on kest‰nyt 1-2 viikon ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisen 2 vrk aikana.,"1-2 viikon ajan ollut ripulia, joka viime p‰ivin‰ helpottunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisen 2 vrk aikana.,1-2 viikon ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisen 2 vrk aikana.,"1-2 viikon ajan ollut ripulia, joka viime p‰ivin‰ pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripuli on kest‰nyt 2 viikon - 1 kk ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisten p‰ivien aikana.,"2 viikon - 1 kk ajan ollut ripulia, joka viime p‰ivin‰ helpottunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisten p‰ivien aikana.,2 viikon - 1 kk ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisten p‰ivien aikana.,"2 viikon - 1 kk ajan ollut ripulia, joka viime p‰ivin‰ pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripuli on kest‰nyt yli 1 kk ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisten p‰ivien aikana.,"Yli 1 kk ajan ollut ripulia, joka viime p‰ivin‰ helpottunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisten p‰ivien aikana.,Yli 1 kk ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisten p‰ivien aikana.,"Yli 1 kk ajan ollut ripulia, joka viime p‰ivin‰ pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Kuinka monta kertaa olet ulostanut viimeisen vuorokauden aikana?,valinta,Olen ulostanut 1-3 kertaa vuorokaudessa.,"Viimeisen vrk:n aikana ulostanut 1-3 kertaa, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Olen ulostanut 4-8 kertaa vuorokaudessa.,"Viimeisen vrk:n aikana ulostanut 4-8 kertaa,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Olen ulostanut yli 8 kertaa vuorokaudessa.,"Viimeisen vrk:n aikana ulostanut yli 8 kertaa,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,En osaa sanoa.,"Ei osaa sanoa kuinka monta kertaa on ulostanut vrk:n aikana,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Valitse seuraavista sopivin vaihtoehto.,valinta,Uloste on t‰ysin vesiripulia., vesiripulia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
